Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,195,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap newToolStripButton_Image
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,186,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Logo"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,185,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Logo
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,176,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""goto_line"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,175,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap goto_line
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,166,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""edit-padding-top"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,165,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap edit_padding_top
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,156,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Disk1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,155,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap Disk1
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,cc65WinForms\cc65WinForms.csproj,File,cc65WinForms\Properties\Resources.Designer.cs,146,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""Disk"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
